City,Country Code,Latitude,Longitude,URL,Name,Max Temperature,Humidity,Cloud Cover,Wind Speed,Date
yellowknife,CA,68.62713412645904,-110.40356983103037,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=yellowknife,Canada,69.8,37.0,20.0,8.05,1561518959.0
attawapiskat,CA,60.330174039097564,-84.5920098425538,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=attawapiskat,Canada,,,,,
torbay,CA,47.26583636307055,-45.79411553827496,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=torbay,Canada,46.99,87.0,5.0,9.17,1561518959.0
the pas,CA,53.706701336562226,-100.06459623004444,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=the pas,Canada,62.6,67.0,75.0,6.93,1561518959.0
iqaluit,CA,62.72322750998558,-73.03923858485099,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=iqaluit,Canada,46.4,65.0,20.0,3.36,1561518959.0
tuktoyaktuk,CA,89.72374983246974,-143.33867617937196,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=tuktoyaktuk,Canada,39.2,84.0,90.0,19.46,1561518960.0
hay river,CA,62.76501042395387,-119.77226959754242,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=hay river,Canada,64.4,48.0,20.0,4.7,1561518960.0
chapais,CA,53.55414611364748,-73.77783152625193,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=chapais,Canada,59.0,93.0,90.0,9.17,1561518960.0
port hardy,CA,51.80720639269175,-128.57723224063324,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=port hardy,Canada,66.2,45.0,75.0,13.87,1561518960.0
norman wells,CA,72.76734492629384,-119.96116608172493,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=norman wells,Canada,50.0,76.0,90.0,16.11,1561518479.0
thompson,CA,65.94304149693264,-96.02692678427618,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=thompson,Canada,59.0,82.0,90.0,6.93,1561518727.0
haines junction,CA,63.320851157943075,-139.03188849843764,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=haines junction,Canada,64.16,50.0,45.0,4.45,1561518960.0
