City,Country Code,Latitude,Longitude,URL,Name,Max Temperature,Humidity,Cloud Cover,Wind Speed,Date
bismil,TR,38.22066400773278,40.58982830559836,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=bismil,Turkey,84.2,35.0,0.0,1.12,1561352286.0
kurtalan,TR,37.829107018291346,41.66727685398988,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=kurtalan,Turkey,77.0,47.0,0.0,3.36,1561352286.0
sinop,TR,42.67141452613885,35.10403884873839,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=sinop,Turkey,72.0,68.0,0.0,3.36,1561352286.0
akdagmadeni,TR,39.23635073082369,36.320491170540684,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=akdagmadeni,Turkey,67.51,75.0,9.0,4.72,1561352287.0
solhan,TR,39.141940832623305,41.239664815945865,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=solhan,Turkey,66.2,55.0,0.0,2.8,1561352287.0
ancud,CL,-40.31226592974154,-87.42422014902776,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=ancud,Chile,41.0,100.0,90.0,2.24,1561352080.0
punta arenas,CL,-57.139925591061925,-75.56853041886312,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=punta arenas,Chile,35.6,80.0,75.0,16.11,1561352339.0
lebu,CL,-34.16720188240437,-81.99687225059391,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=lebu,Chile,63.73,70.0,0.0,3.24,1561352339.0
castro,CL,-48.9301095783886,-106.58133616088242,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=castro,Chile,41.0,100.0,90.0,2.24,1561352339.0
talcahuano,CL,-32.08852151381236,-80.80930061372537,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=talcahuano,Chile,44.6,100.0,20.0,4.7,1561352339.0
taltal,CL,-25.22358264441189,-78.79525539987351,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=taltal,Chile,48.79,90.0,39.0,8.05,1561352339.0
coquimbo,CL,-27.986261236797862,-80.45903548136701,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=coquimbo,Chile,50.0,93.0,0.0,4.7,1561352339.0
copiapo,CL,-27.093801350321414,-71.73032306702783,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=copiapo,Chile,53.6,81.0,48.0,3.36,1561352109.0
dikson,RU,88.98810809758724,74.0844370679309,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=dikson,Russian Federation,43.03,78.0,90.0,15.82,1561352340.0
sentyabrskiy,RU,29.75435703396296,163.1368388645904,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=sentyabrskiy,Russian Federation,,,,,
cherskiy,RU,65.66219610512331,159.8031189565334,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=cherskiy,Russian Federation,75.43,28.0,30.0,7.31,1561352340.0
belushya guba,RU,83.52800433038627,57.154771381332466,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=belushya guba,Russian Federation,,,,,
mys shmidta,RU,79.82289372313761,-177.01825792332542,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=mys shmidta,Russian Federation,,,,,
ossora,RU,59.57774509198563,161.68471773352502,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=ossora,Russian Federation,45.91,95.0,100.0,1.01,1561352340.0
talnakh,RU,70.92596075210778,91.0721777651915,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=talnakh,Russian Federation,62.6,55.0,0.0,11.18,1561352340.0
