City,Country Code,Latitude,Longitude,URL,Name,Max Temperature,Humidity,Cloud Cover,Wind Speed,Date
yellowknife,CA,62.45,-114.38,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=yellowknife,Canada,66.2,63.0,75.0,12.75,1561577472.0
attawapiskat,CA,,,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=attawapiskat,Canada,,,,,
torbay,CA,47.66,-52.73,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=torbay,Canada,62.01,62.0,20.0,10.29,1561577472.0
the pas,CA,53.82,-101.24,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=the pas,Canada,68.0,56.0,90.0,9.17,1561577475.0
iqaluit,CA,63.75,-68.52,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=iqaluit,Canada,44.6,75.0,20.0,6.93,1561577475.0
tuktoyaktuk,CA,69.44,-133.03,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=tuktoyaktuk,Canada,39.2,80.0,90.0,14.99,1561577476.0
hay river,CA,60.82,-115.79,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=hay river,Canada,62.6,51.0,75.0,6.93,1561577476.0
chapais,CA,49.78,-74.86,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=chapais,Canada,64.4,82.0,90.0,12.75,1561577476.0
port hardy,CA,50.7,-127.42,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=port hardy,Canada,53.6,93.0,75.0,6.93,1561577476.0
norman wells,CA,65.28,-126.83,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=norman wells,Canada,53.6,50.0,40.0,12.75,1561577476.0
thompson,CA,55.74,-97.86,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=thompson,Canada,59.0,77.0,90.0,2.24,1561577477.0
haines junction,CA,60.75,-137.51,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=haines junction,Canada,60.89,60.0,98.0,0.67,1561577477.0
fort nelson,CA,58.81,-122.69,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=fort nelson,Canada,60.8,72.0,90.0,12.75,1561577477.0
pangnirtung,CA,66.15,-65.72,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=pangnirtung,Canada,44.6,81.0,20.0,9.17,1561577477.0
clyde river,CA,70.47,-68.59,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=clyde river,Canada,41.0,80.0,75.0,16.11,1561577435.0
rimbey,CA,52.64,-114.24,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=rimbey,Canada,64.4,59.0,75.0,5.82,1561577477.0
